"Country","co","co2","unit"
"Kosovo","10.05 million Mt(2017 est.)","10.05","6"
"Kuwait","106.5 million Mt(2017 est.)","106.5","6"
"Kyrgyzstan","10.02 million Mt(2017 est.)","10.02","6"
"Laos","10.42 million Mt(2017 est.)","10.42","6"
"Latvia","8.632 million Mt(2017 est.)","8.632","6"
"Lebanon","23.36 million Mt(2017 est.)","23.36","6"
"Lesotho","711100 Mt(2017 est.)","711100","0(2017"
"Liberia","1.163 million Mt(2017 est.)","1.163","6"
"Libya","46.48 million Mt(2017 est.)","46.48","6"
"Lithuania","13.49 million Mt(2017 est.)","13.49","6"
"Luxembourg","10.72 million Mt(2017 est.)","10.72","6"
"Macau","2.563 million Mt(2017 est.)","2.563","6"
"Madagascar","4.021 million Mt(2017 est.)","4.021","6"
"Malawi","1.082 million Mt(2017 est.)","1.082","6"
"Malaysia","226.8 million Mt(2017 est.)","226.8","6"
"Maldives","1.648 million Mt(2017 est.)","1.648","6"
"Mali","3.388 million Mt(2017 est.)","3.388","6"
"Malta","8.141 million Mt(2017 est.)","8.141","6"
"Marshall Islands","293700 Mt(2017 est.)","293700","0(2017"
"Mauritania","2.615 million Mt(2017 est.)","2.615","6"
"Mauritius","6.429 million Mt(2017 est.)","6.429","6"
"Mexico","454.1 million Mt(2017 est.)","454.1","6"
"Micronesia, Federated States of","105 Mt(2010 est.)","105","0(2010"
"Moldova","7.653 million Mt(2017 est.)","7.653","6"
"Mongolia","19.86 million Mt(2017 est.)","19.86","6"
"Montenegro","2.287 million Mt(2017 est.)","2.287","6"
"Montserrat","57180 Mt(2017 est.)","57180","0(2017"
"Morocco","55.4 million Mt(2017 est.)","55.4","6"
"Mozambique","11.12 million Mt(2017 est.)","11.12","6"
"Namibia","3.958 million Mt(2017 est.)","3.958","6"
"Nauru","76540 Mt(2017 est.)","76540","0(2017"
"Nepal","8.396 million Mt(2017 est.)","8.396","6"
"Netherlands","250.2 million Mt(2017 est.)","250.2","6"
"New Caledonia","6.165 million Mt(2017 est.)","6.165","6"
"New Zealand","37.75 million Mt(2017 est.)","37.75","6"
"Nicaragua","5.405 million Mt(2017 est.)","5.405","6"
"Niger","2.534 million Mt(2017 est.)","2.534","6"
"Nigeria","104 million Mt(2017 est.)","104","6"
"Niue","7252 Mt(2017 est.)","7252","0(2017"
"North Macedonia","7.459 million Mt(2017 est.)","7.459","6"
"Norway","39.8 million Mt(2017 est.)","39.8","6"
"Oman","68.94 million Mt(2017 est.)","68.94","6"
"Pakistan","179.5 million Mt(2017 est.)","179.5","6"
"Panama","26.08 million Mt(2017 est.)","26.08","6"
"Papua New Guinea","6.082 million Mt(2017 est.)","6.082","6"
"Paraguay","7.74 million Mt(2017 est.)","7.74","6"
"Peru","55.94 million Mt(2017 est.)","55.94","6"
"Philippines","117.2 million Mt(2017 est.)","117.2","6"
"Poland","359 million Mt(2017 est.)","359","6"
"Portugal","54.97 million Mt(2017 est.)","54.97","6"
"Puerto Rico","19.85 million Mt(2017 est.)","19.85","6"
"Qatar","114.2 million Mt(2017 est.)","114.2","6"
"Romania","72.07 million Mt(2017 est.)","72.07","6"
"Russia","1.847 billion Mt(2017 est.)","1.847","billion"
"Rwanda","985600 Mt(2017 est.)","985600","0(2017"
"Saint Helena, Ascension, and Tristan da Cunha","10650 Mt(2017 est.)","10650","0(2017"
"Saint Kitts and Nevis","248100 Mt(2017 est.)","248100","0(2017"
"Saint Lucia","437900 Mt(2017 est.)","437900","0(2017"
"Saint Pierre and Miquelon","100200 Mt(2017 est.)","100200","0(2017"
"Saint Vincent and the Grenadines","226800 Mt(2017 est.)","226800","0(2017"
"Samoa","341100 Mt(2017 est.)","341100","0(2017"
"Sao Tome and Principe","148100 Mt(2017 est.)","148100","0(2017"
"Saudi Arabia","657.1 million Mt(2017 est.)","657.1","6"
"Senegal","8.644 million Mt(2017 est.)","8.644","6"
"Serbia","50.21 million Mt(2017 est.)","50.21","6"
"Seychelles","1.15 million Mt(2017 est.)","1.15","6"
"Sierra Leone","984800 Mt(2017 est.)","984800","0(2017"
"Singapore","249.5 million Mt(2017 est.)","249.5","6"
"Slovakia","34.86 million Mt(2017 est.)","34.86","6"
"Slovenia","14.37 million Mt(2017 est.)","14.37","6"
"Solomon Islands","233500 Mt(2017 est.)","233500","0(2017"
"Somalia","852500 Mt(2017 est.)","852500","0(2017"
"South Africa","572.3 million Mt(2017 est.)","572.3","6"
"South Sudan","1.224 million Mt(2017 est.)","1.224","6"
"Spain","286.7 million Mt(2017 est.)","286.7","6"
"Sri Lanka","25.19 million Mt(2017 est.)","25.19","6"
"Sudan","16.03 million Mt(2017 est.)","16.03","6"
"Suriname","2.075 million Mt(2017 est.)","2.075","6"
"Sweden","52.31 million Mt(2017 est.)","52.31","6"
"Switzerland","38.95 million Mt(2017 est.)","38.95","6"
"Syria","27.51 million Mt(2017 est.)","27.51","6"
"Taiwan","348.8 million Mt(2017 est.)","348.8","6"
"Tajikistan","6.329 million Mt(2017 est.)","6.329","6"
"Tanzania","14.57 million Mt(2017 est.)","14.57","6"
"Thailand","355 million Mt(2017 est.)","355","6"
"Timor-Leste","533400 Mt(2017 est.)","533400","0(2017"
"Togo","2.651 million Mt(2017 est.)","2.651","6"
"Tonga","139700 Mt(2017 est.)","139700","0(2017"
"Trinidad and Tobago","48.92 million Mt(2017 est.)","48.92","6"
"Tunisia","23.42 million Mt(2017 est.)","23.42","6"
"Turkey","379.5 million Mt(2017 est.)","379.5","6"
"Turkmenistan","100.5 million Mt(2017 est.)","100.5","6"
"Turks and Caicos Islands","221800 Mt(2017 est.)","221800","0(2017"
"Uganda","4.703 million Mt(2017 est.)","4.703","6"
"Ukraine","238.9 million Mt(2017 est.)","238.9","6"
"United Arab Emirates","289.4 million Mt(2017 est.)","289.4","6"
"United Kingdom","424 million Mt(2017 est.)","424","6"
"United States","5.242 billion Mt(2017 est.)","5.242","billion"
"Uruguay","7.554 million Mt(2017 est.)","7.554","6"
"Uzbekistan","95.58 million Mt(2017 est.)","95.58","6"
"Vanuatu","164800 Mt(2017 est.)","164800","0(2017"
"Venezuela","129.9 million Mt(2017 est.)","129.9","6"
"Vietnam","235.3 million Mt(2017 est.)","235.3","6"
"Virgin Islands","2.764 million Mt(2017 est.)","2.764","6"
"West Bank","3.113 million Mt(2017 est.)","3.113","6"
"Western Sahara","268400 Mt(2017 est.)","268400","0(2017"
"World","33.62 billion Mt(2013 est.)","33.62","billion"
"Yemen","13.68 million Mt(2017 est.)","13.68","6"
"Zambia","3.777 million Mt(2017 est.)","3.777","6"
"Zimbabwe","12.06 million Mt(2017 est.)","12.06","6"
